"X","Y"
174.826921019538,-36.8575577970266
174.826810864227,-36.8574974210295
174.826830878358,-36.8574792605963
174.82566721533,-36.8563576317054
174.815048825388,-36.8537495309589
174.815642246616,-36.8589855603355
174.837140988496,-36.8502650707249
174.825145229109,-36.8582918938204
174.837349426629,-36.8540527698192
174.837260970959,-36.8541527434077
174.836931755814,-36.8541844223269
174.83685645898,-36.8544171389706
174.83669077795,-36.854388153215
174.836657839226,-36.8545162010843
174.836384675115,-36.8544904985206
174.825597532189,-36.8510851674621
174.826445296196,-36.8507604074113
174.826410778155,-36.850824969739
174.825963120076,-36.8511370161741
174.825949522525,-36.8509334150096
174.820007748947,-36.8587588936751
174.822125995471,-36.8499658088985
174.822191583146,-36.8499790443453
174.822510162172,-36.8500005681386
174.840408091226,-36.8500542933891
174.840380100587,-36.8501059109334
174.831543588513,-36.8566207802627
174.812948135114,-36.8570196739397
174.808535711917,-36.8542096508431
174.808327782825,-36.8541292142669
174.814399685582,-36.854282960618
174.814239049996,-36.8541541595602
174.813937919609,-36.8540033615462
174.813307828351,-36.8536870733238
174.813293216077,-36.8543314983482
174.812701935862,-36.8537817541547
174.81312095071,-36.8535127011227
174.813812871696,-36.8518359060587
174.813893207809,-36.8519974208477
174.814113164466,-36.8522541811303
174.814592383984,-36.8526334291544
174.813293590698,-36.8535466539978
174.813827700062,-36.8532385719037
174.814373915277,-36.8529323576595
174.814639524364,-36.8527919287575
174.814684549065,-36.8528243734646
174.815183748559,-36.8535715164364
174.815227970607,-36.8536756925838
174.815818092211,-36.8536639934538
174.816077543372,-36.853657972694
174.819155156589,-36.8553681192198
174.818612334306,-36.8550889214337
174.812978206663,-36.8532997504498
174.820710061447,-36.8553021786665
174.82097689131,-36.8554017617108
174.822209113894,-36.8558106195428
174.822859467515,-36.8559424457078
174.822969333811,-36.8561038633108
174.823365863415,-36.8562997976398
174.823367893687,-36.8561629599578
174.818011724286,-36.858608659933
174.818346371256,-36.858862763714
174.813610293139,-36.8521309708948
174.813310676207,-36.8518992881326
174.816816837131,-36.8573003160205
174.814061918679,-36.8549762198041
174.8140404624,-36.8548975577679
174.813777061808,-36.8546596478342
174.816337060449,-36.853236906289
174.815346745137,-36.8528629009474
174.815474641578,-36.8526983467511
174.815702701519,-36.8524647455652
174.815944798434,-36.852216956016
174.81863562942,-36.8540547661428
174.817610150814,-36.8528515978757
174.817390330603,-36.8531726892946
174.821777952009,-36.8570499334173
174.821950685925,-36.8569830477851
174.82200281452,-36.8570118321491
174.822011001625,-36.8572666899857
174.821923347374,-36.8588602460296
174.822014724862,-36.8582147082002
174.822161392425,-36.8581823843453
174.822252478936,-36.8580228914799
174.822603178294,-36.8556455371695
174.815989775746,-36.8547895580984
174.816000108239,-36.8551437625898
174.820617046544,-36.8570437673454
174.820398513717,-36.8570661705102
174.820155874559,-36.8570874913741
174.819993711296,-36.8565661276973
174.819960480522,-36.856471255468
174.819687871496,-36.8561513901008
174.821802284597,-36.8548416713388
174.823357979882,-36.8583122474819
174.822822506525,-36.8581645535223
174.820965643562,-36.8561413775573
174.819312349588,-36.8566818249572
174.819913075508,-36.8576901037968
174.82028672584,-36.8580965596412
174.816133899639,-36.8588576257353
174.817327396934,-36.8557790278314
174.816853559017,-36.8559087642597
174.815330135913,-36.8545907313376
174.815553938801,-36.8545817194129
174.817132202711,-36.8543481502249
174.817058549938,-36.8540134600008
174.825683436136,-36.8555887543379
174.8375759623,-36.8562531181888
174.827609896231,-36.851757097291
174.827452704706,-36.8516650547233
174.820907604691,-36.8570426051174
174.833888355782,-36.8571433696928
174.833533480797,-36.8573363234879
174.83342018241,-36.8572888588083
174.812216045949,-36.8572311514652
